Year,Station,Month,Rainfall
1970.0,Barisal,January,0.0
1970.0,Barisal,February,24.0
1970.0,Barisal,March,5.0
1970.0,Barisal,April,91.0
1970.0,Barisal,May,124.0
1970.0,Barisal,June,408.0
1970.0,Barisal,July,530.0
1970.0,Barisal,August,317.0
1970.0,Barisal,September,571.0
1970.0,Barisal,October,253.0
1970.0,Barisal,November,90.0
1970.0,Barisal,December,0.0
1970.0,Bhola,January,0.0
1970.0,Bhola,February,26.0
1970.0,Bhola,March,4.0
1970.0,Bhola,April,70.0
1970.0,Bhola,May,69.0
1970.0,Bhola,June,402.0
1970.0,Bhola,July,233.0
1970.0,Bhola,August,287.0
1970.0,Bhola,September,503.0
1970.0,Bhola,October,288.0
1970.0,Bhola,November,9.0
1970.0,Bhola,December,0.0
1970.0,Bogra,January,0.0
1970.0,Bogra,February,0.0
1970.0,Bogra,March,0.0
1970.0,Bogra,April,0.0
1970.0,Bogra,May,113.0
1970.0,Bogra,June,506.0
1970.0,Bogra,July,629.0
1970.0,Bogra,August,171.0
1970.0,Bogra,September,201.0
1970.0,Bogra,October,164.0
1970.0,Bogra,November,10.0
1970.0,Bogra,December,0.0
1970.0,Chandpur,January,0.0
1970.0,Chandpur,February,0.0
1970.0,Chandpur,March,13.0
1970.0,Chandpur,April,71.0
1970.0,Chandpur,May,57.0
1970.0,Chandpur,June,387.0
1970.0,Chandpur,July,433.0
1970.0,Chandpur,August,172.0
1970.0,Chandpur,September,208.0
1970.0,Chandpur,October,238.0
1970.0,Chandpur,November,1.0
1970.0,Chandpur,December,0.0
1970.0,Chittagong,January,1.0
1970.0,Chittagong,February,20.0
1970.0,Chittagong,March,2.0
1970.0,Chittagong,April,40.0
1970.0,Chittagong,May,158.0
1970.0,Chittagong,June,313.0
1970.0,Chittagong,July,1041.0
1970.0,Chittagong,August,405.0
1970.0,Chittagong,September,317.0
1970.0,Chittagong,October,380.0
1970.0,Chittagong,November,151.0
1970.0,Chittagong,December,0.0
1970.0,Comilla,January,20.0
1970.0,Comilla,February,9.0
1970.0,Comilla,March,63.0
1970.0,Comilla,April,134.0
1970.0,Comilla,May,187.0
1970.0,Comilla,June,129.0
1970.0,Comilla,July,546.0
1970.0,Comilla,August,240.0
1970.0,Comilla,September,37.0
1970.0,Comilla,October,284.0
1970.0,Comilla,November,74.0
1970.0,Comilla,December,0.0
1970.0,CoxsBazar,January,0.0
1970.0,CoxsBazar,February,40.0
1970.0,CoxsBazar,March,0.0
1970.0,CoxsBazar,April,69.0
1970.0,CoxsBazar,May,331.0
1970.0,CoxsBazar,June,578.0
1970.0,CoxsBazar,July,1424.0
1970.0,CoxsBazar,August,598.0
1970.0,CoxsBazar,September,308.0
1970.0,CoxsBazar,October,458.0
1970.0,CoxsBazar,November,67.0
1970.0,CoxsBazar,December,0.0
1970.0,Dhaka,January,16.0
1970.0,Dhaka,February,8.0
1970.0,Dhaka,March,23.0
1970.0,Dhaka,April,45.0
1970.0,Dhaka,May,192.0
1970.0,Dhaka,June,276.0
1970.0,Dhaka,July,496.0
1970.0,Dhaka,August,280.0
1970.0,Dhaka,September,200.0
1970.0,Dhaka,October,427.0
1970.0,Dhaka,November,32.0
1970.0,Dhaka,December,0.0
1970.0,Dinajpur,January,42.0
1970.0,Dinajpur,February,0.0
1970.0,Dinajpur,March,1.0
1970.0,Dinajpur,April,76.0
1970.0,Dinajpur,May,74.0
1970.0,Dinajpur,June,253.0
1970.0,Dinajpur,July,586.0
1970.0,Dinajpur,August,126.0
1970.0,Dinajpur,September,217.0
1970.0,Dinajpur,October,48.0
1970.0,Dinajpur,November,0.0
1970.0,Dinajpur,December,0.0
1970.0,Faridpur,January,12.0
1970.0,Faridpur,February,15.0
1970.0,Faridpur,March,25.0
1970.0,Faridpur,April,68.0
1970.0,Faridpur,May,173.0
1970.0,Faridpur,June,308.0
1970.0,Faridpur,July,382.0
1970.0,Faridpur,August,291.0
1970.0,Faridpur,September,433.0
1970.0,Faridpur,October,413.0
1970.0,Faridpur,November,32.0
1970.0,Faridpur,December,0.0
1970.0,Hatiya,January,0.0
1970.0,Hatiya,February,64.0
1970.0,Hatiya,March,6.0
1970.0,Hatiya,April,44.0
1970.0,Hatiya,May,131.0
1970.0,Hatiya,June,468.0
1970.0,Hatiya,July,584.0
1970.0,Hatiya,August,512.0
1970.0,Hatiya,September,521.0
1970.0,Hatiya,October,389.0
1970.0,Hatiya,November,0.0
1970.0,Hatiya,December,0.0
1970.0,Ishurdi,January,73.0
1970.0,Ishurdi,February,25.0
1970.0,Ishurdi,March,30.0
1970.0,Ishurdi,April,1.0
1970.0,Ishurdi,May,116.0
1970.0,Ishurdi,June,236.0
1970.0,Ishurdi,July,168.0
1970.0,Ishurdi,August,378.0
1970.0,Ishurdi,September,340.0
1970.0,Ishurdi,October,364.0
1970.0,Ishurdi,November,0.0
1970.0,Ishurdi,December,0.0
1970.0,Jessore,January,31.0
1970.0,Jessore,February,30.0
1970.0,Jessore,March,45.0
1970.0,Jessore,April,87.0
1970.0,Jessore,May,29.0
1970.0,Jessore,June,352.0
1970.0,Jessore,July,415.0
1970.0,Jessore,August,280.0
1970.0,Jessore,September,490.0
1970.0,Jessore,October,339.0
1970.0,Jessore,November,10.0
1970.0,Jessore,December,0.0
1970.0,Khulna,January,0.0
1970.0,Khulna,February,0.0
1970.0,Khulna,March,0.0
1970.0,Khulna,April,51.0
1970.0,Khulna,May,129.0
1970.0,Khulna,June,548.0
1970.0,Khulna,July,634.0
1970.0,Khulna,August,270.0
1970.0,Khulna,September,115.0
1970.0,Khulna,October,190.0
1970.0,Khulna,November,13.0
1970.0,Khulna,December,0.0
1970.0,M.court,January,16.0
1970.0,M.court,February,65.0
1970.0,M.court,March,5.0
1970.0,M.court,April,217.0
1970.0,M.court,May,127.0
1970.0,M.court,June,574.0
1970.0,M.court,July,692.0
1970.0,M.court,August,696.0
1970.0,M.court,September,554.0
1970.0,M.court,October,569.0
1970.0,M.court,November,151.0
1970.0,M.court,December,0.0
1970.0,Mymensingh,January,23.0
1970.0,Mymensingh,February,0.0
1970.0,Mymensingh,March,6.0
1970.0,Mymensingh,April,117.0
1970.0,Mymensingh,May,176.0
1970.0,Mymensingh,June,570.0
1970.0,Mymensingh,July,323.0
1970.0,Mymensingh,August,207.0
1970.0,Mymensingh,September,242.0
1970.0,Mymensingh,October,274.0
1970.0,Mymensingh,November,8.0
1970.0,Mymensingh,December,0.0
1970.0,Rangamati,January,6.0
1970.0,Rangamati,February,54.0
1970.0,Rangamati,March,15.0
1970.0,Rangamati,April,38.0
1970.0,Rangamati,May,111.0
1970.0,Rangamati,June,274.0
1970.0,Rangamati,July,1276.0
1970.0,Rangamati,August,326.0
1970.0,Rangamati,September,200.0
1970.0,Rangamati,October,155.0
1970.0,Rangamati,November,109.0
1970.0,Rangamati,December,0.0
1970.0,Rangpur,January,29.0
1970.0,Rangpur,February,6.0
1970.0,Rangpur,March,5.0
1970.0,Rangpur,April,39.0
1970.0,Rangpur,May,162.0
1970.0,Rangpur,June,527.0
1970.0,Rangpur,July,503.0
1970.0,Rangpur,August,440.0
1970.0,Rangpur,September,242.0
1970.0,Rangpur,October,39.0
1970.0,Rangpur,November,5.0
1970.0,Rangpur,December,0.0
1970.0,Sandwip,January,0.0
1970.0,Sandwip,February,27.0
1970.0,Sandwip,March,57.0
1970.0,Sandwip,April,231.0
1970.0,Sandwip,May,150.0
1970.0,Sandwip,June,327.0
1970.0,Sandwip,July,812.0
1970.0,Sandwip,August,597.0
1970.0,Sandwip,September,282.0
1970.0,Sandwip,October,428.0
1970.0,Sandwip,November,148.0
1970.0,Sandwip,December,0.0
1970.0,Satkhira,January,0.0
1970.0,Satkhira,February,47.0
1970.0,Satkhira,March,22.0
1970.0,Satkhira,April,4.0
1970.0,Satkhira,May,59.0
1970.0,Satkhira,June,296.0
1970.0,Satkhira,July,356.0
1970.0,Satkhira,August,274.0
1970.0,Satkhira,September,377.0
1970.0,Satkhira,October,0.0
1970.0,Satkhira,November,9.0
1970.0,Satkhira,December,0.0
1970.0,Srimangal,January,36.0
1970.0,Srimangal,February,6.0
1970.0,Srimangal,March,97.0
1970.0,Srimangal,April,79.0
1970.0,Srimangal,May,79.0
1970.0,Srimangal,June,418.0
1970.0,Srimangal,July,657.0
1970.0,Srimangal,August,267.0
1970.0,Srimangal,September,420.0
1970.0,Srimangal,October,213.0
1970.0,Srimangal,November,31.0
1970.0,Srimangal,December,0.0
1970.0,Sylhet,January,62.0
1970.0,Sylhet,February,65.0
1970.0,Sylhet,March,60.0
1970.0,Sylhet,April,466.0
1970.0,Sylhet,May,851.0
1970.0,Sylhet,June,955.0
1970.0,Sylhet,July,1076.0
1970.0,Sylhet,August,662.0
1970.0,Sylhet,September,622.0
1970.0,Sylhet,October,608.0
1970.0,Sylhet,November,47.0
1970.0,Sylhet,December,0.0
1971.0,Barisal,January,7.0
1971.0,Barisal,February,1.0
1971.0,Barisal,March,0.0
1971.0,Barisal,April,104.0
1971.0,Barisal,May,267.0
1971.0,Barisal,June,503.0
1971.0,Barisal,July,250.0
1971.0,Barisal,August,233.0
1971.0,Barisal,September,394.0
1971.0,Barisal,October,152.0
1971.0,Barisal,November,114.0
1971.0,Barisal,December,0.0
1971.0,Bhola,January,0.0
1971.0,Bhola,February,0.0
1971.0,Bhola,March,0.0
1971.0,Bhola,April,0.0
1971.0,Bhola,May,247.0
1971.0,Bhola,June,584.0
1971.0,Bhola,July,409.0
1971.0,Bhola,August,381.0
1971.0,Bhola,September,409.0
1971.0,Bhola,October,107.0
1971.0,Bhola,November,1283.0
1971.0,Bhola,December,0.0
1971.0,Bogra,January,13.0
1971.0,Bogra,February,4.0
1971.0,Bogra,March,8.0
1971.0,Bogra,April,0.0
1971.0,Bogra,May,0.0
1971.0,Bogra,June,0.0
1971.0,Bogra,July,344.0
1971.0,Bogra,August,312.0
1971.0,Bogra,September,392.0
1971.0,Bogra,October,128.0
1971.0,Bogra,November,41.0
1971.0,Bogra,December,0.0
1971.0,Chittagong,January,10.0
1971.0,Chittagong,February,0.0
1971.0,Chittagong,March,0.0
1971.0,Chittagong,April,2.0
1971.0,Chittagong,May,63.0
1971.0,Chittagong,June,853.0
1971.0,Chittagong,July,949.0
1971.0,Chittagong,August,707.0
1971.0,Chittagong,September,184.0
1971.0,Chittagong,October,59.0
1971.0,Chittagong,November,0.0
1971.0,Chittagong,December,0.0
1971.0,Comilla,January,5.0
1971.0,Comilla,February,10.0
1971.0,Comilla,March,0.0
1971.0,Comilla,April,0.0
1971.0,Comilla,May,46.0
1971.0,Comilla,June,123.0
1971.0,Comilla,July,291.0
1971.0,Comilla,August,307.0
1971.0,Comilla,September,172.0
1971.0,Comilla,October,166.0
1971.0,Comilla,November,57.0
1971.0,Comilla,December,0.0
1971.0,CoxsBazar,January,4.0
1971.0,CoxsBazar,February,0.0
1971.0,CoxsBazar,March,1.0
1971.0,CoxsBazar,April,5.0
1971.0,CoxsBazar,May,155.0
1971.0,CoxsBazar,June,1179.0
1971.0,CoxsBazar,July,1518.0
1971.0,CoxsBazar,August,680.0
1971.0,CoxsBazar,September,112.0
1971.0,CoxsBazar,October,163.0
1971.0,CoxsBazar,November,91.0
1971.0,CoxsBazar,December,0.0
1971.0,Dhaka,January,3.0
1971.0,Dhaka,February,28.0
1971.0,Dhaka,March,0.0
1971.0,Dhaka,April,0.0
1971.0,Dhaka,May,344.0
1971.0,Dhaka,June,339.0
1971.0,Dhaka,July,550.0
1971.0,Dhaka,August,540.0
1971.0,Dhaka,September,259.0
1971.0,Dhaka,October,118.0
1971.0,Dhaka,November,95.0
1971.0,Dhaka,December,0.0
1971.0,Dinajpur,January,8.0
1971.0,Dinajpur,February,11.0
1971.0,Dinajpur,March,0.0
1971.0,Dinajpur,April,0.0
1971.0,Dinajpur,May,0.0
1971.0,Dinajpur,June,0.0
1971.0,Dinajpur,July,0.0
1971.0,Dinajpur,August,295.0
1971.0,Dinajpur,September,94.0
1971.0,Dinajpur,October,302.0
1971.0,Dinajpur,November,0.0
1971.0,Dinajpur,December,0.0
1971.0,Faridpur,January,12.0
1971.0,Faridpur,February,9.0
1971.0,Faridpur,March,0.0
1971.0,Faridpur,April,0.0
1971.0,Faridpur,May,0.0
1971.0,Faridpur,June,0.0
1971.0,Faridpur,July,278.0
1971.0,Faridpur,August,538.0
1971.0,Faridpur,September,292.0
1971.0,Faridpur,October,135.0
1971.0,Faridpur,November,66.0
1971.0,Faridpur,December,0.0
1971.0,Hatiya,January,0.0
1971.0,Hatiya,February,0.0
1971.0,Hatiya,March,0.0
1971.0,Hatiya,April,0.0
1971.0,Hatiya,April,0.0
1971.0,Hatiya,May,0.0
1971.0,Hatiya,June,436.0
1971.0,Hatiya,July,790.0
1971.0,Hatiya,August,989.0
1971.0,Hatiya,September,430.0
1971.0,Hatiya,October,0.0
1971.0,Hatiya,November,0.0
1971.0,Ishurdi,January,0.0
1971.0,Ishurdi,February,0.0
1971.0,Ishurdi,March,0.0
1971.0,Ishurdi,April,0.0
1971.0,Ishurdi,May,0.0
1971.0,Ishurdi,June,0.0
1971.0,Ishurdi,July,0.0
1971.0,Ishurdi,August,525.0
1971.0,Ishurdi,September,0.0
1971.0,Ishurdi,October,0.0
1971.0,Ishurdi,November,0.0
1971.0,Ishurdi,December,0.0
1971.0,Jessore,January,16.0
1971.0,Jessore,February,0.0
1971.0,Jessore,March,0.0
1971.0,Jessore,April,0.0
1971.0,Jessore,May,0.0
1971.0,Jessore,June,205.0
1971.0,Jessore,July,489.0
1971.0,Jessore,August,500.0
1971.0,Jessore,September,313.0
1971.0,Jessore,October,0.0
1971.0,Jessore,November,0.0
1971.0,Jessore,December,0.0
1971.0,Khulna,January,0.0
1971.0,Khulna,February,0.0
1971.0,Khulna,March,0.0
1971.0,Khulna,April,0.0
1971.0,Khulna,May,37.0
1971.0,Khulna,June,63.0
1971.0,Khulna,July,48.0
1971.0,Khulna,August,135.0
1971.0,Khulna,September,80.0
1971.0,Khulna,October,106.0
1971.0,Khulna,November,6.0
1971.0,Khulna,December,0.0
1971.0,M.court,January,0.0
1971.0,M.court,February,0.0
1971.0,M.court,March,0.0
1971.0,M.court,April,0.0
1971.0,M.court,May,282.0
1971.0,M.court,June,615.0
1971.0,M.court,July,793.0
1971.0,M.court,August,870.0
1971.0,M.court,September,425.0
1971.0,M.court,October,230.0
1971.0,M.court,November,172.0
1971.0,M.court,December,0.0
1971.0,Mymensingh,January,0.0
1971.0,Mymensingh,February,0.0
1971.0,Mymensingh,March,0.0
1971.0,Mymensingh,April,0.0
1971.0,Mymensingh,May,0.0
1971.0,Mymensingh,June,0.0
1971.0,Mymensingh,July,0.0
1971.0,Mymensingh,August,369.0
1971.0,Mymensingh,September,897.0
1971.0,Mymensingh,October,445.0
1971.0,Mymensingh,November,58.0
1971.0,Mymensingh,December,0.0
1971.0,Rajshahi,January,22.0
1971.0,Rajshahi,February,14.0
1971.0,Rajshahi,March,0.0
1971.0,Rajshahi,April,0.0
1971.0,Rajshahi,May,0.0
1971.0,Rajshahi,June,277.0
1971.0,Rajshahi,July,452.0
1971.0,Rajshahi,August,452.0
1971.0,Rajshahi,September,264.0
1971.0,Rajshahi,October,81.0
1971.0,Rajshahi,November,86.0
1971.0,Rajshahi,December,0.0
1971.0,Rangamati,January,5.0
1971.0,Rangamati,February,0.0
1971.0,Rangamati,March,0.0
1971.0,Rangamati,April,103.0
1971.0,Rangamati,May,133.0
1971.0,Rangamati,June,693.0
1971.0,Rangamati,July,399.0
1971.0,Rangamati,August,507.0
1971.0,Rangamati,September,164.0
1971.0,Rangamati,October,72.0
1971.0,Rangamati,November,41.0
1971.0,Rangamati,December,1.0
1971.0,Rangpur,January,12.0
1971.0,Rangpur,February,2.0
1971.0,Rangpur,March,0.0
1971.0,Rangpur,April,0.0
1971.0,Rangpur,May,0.0
1971.0,Rangpur,June,121.0
1971.0,Rangpur,July,298.0
1971.0,Rangpur,August,438.0
1971.0,Rangpur,September,403.0
1971.0,Rangpur,October,250.0
1971.0,Rangpur,November,49.0
1971.0,Rangpur,December,0.0
1971.0,Sandwip,January,4.0
1971.0,Sandwip,February,1.0
1971.0,Sandwip,March,0.0
1971.0,Sandwip,April,159.0
1971.0,Sandwip,May,263.0
1971.0,Sandwip,June,922.0
1971.0,Sandwip,July,780.0
1971.0,Sandwip,August,1113.0
1971.0,Sandwip,September,273.0
1971.0,Sandwip,October,260.0
1971.0,Sandwip,November,175.0
1971.0,Sandwip,December,0.0
1971.0,Satkhira,January,0.0
1971.0,Satkhira,February,0.0
1971.0,Satkhira,March,0.0
1971.0,Satkhira,April,0.0
1971.0,Satkhira,May,93.0
1971.0,Satkhira,June,401.0
1971.0,Satkhira,July,598.0
1971.0,Satkhira,August,0.0
1971.0,Satkhira,September,263.0
1971.0,Satkhira,October,198.0
1971.0,Satkhira,November,0.0
1971.0,Satkhira,December,0.0
1971.0,Srimangal,January,4.0
1971.0,Srimangal,February,0.0
1971.0,Srimangal,March,0.0
1971.0,Srimangal,April,0.0
1971.0,Srimangal,May,0.0
1971.0,Srimangal,June,0.0
1971.0,Srimangal,July,95.0
1971.0,Srimangal,August,212.0
1971.0,Srimangal,September,116.0
1971.0,Srimangal,October,249.0
1971.0,Srimangal,November,99.0
1971.0,Srimangal,December,0.0
1971.0,Sylhet,January,22.0
1971.0,Sylhet,February,7.0
1971.0,Sylhet,March,62.0
1971.0,Sylhet,April,0.0
1971.0,Sylhet,May,11.0
1971.0,Sylhet,June,710.0
1971.0,Sylhet,July,510.0
1971.0,Sylhet,August,571.0
1971.0,Sylhet,September,349.0
1971.0,Sylhet,October,259.0
1971.0,Sylhet,November,85.0
1971.0,Sylhet,December,0.0
1972.0,Barisal,January,0.0
1972.0,Barisal,February,58.0
1972.0,Barisal,March,0.0
1972.0,Barisal,April,121.0
1972.0,Barisal,May,130.0
1972.0,Barisal,June,262.0
1972.0,Barisal,July,248.0
1972.0,Barisal,August,458.0
1972.0,Barisal,September,90.0
1972.0,Barisal,October,29.0
1972.0,Barisal,November,0.0
1972.0,Barisal,December,0.0
1972.0,Bhola,January,0.0
1972.0,Bhola,February,13.0
1972.0,Bhola,March,0.0
1972.0,Bhola,April,59.0
1972.0,Bhola,May,64.0
1972.0,Bhola,June,512.0
1972.0,Bhola,July,242.0
1972.0,Bhola,August,586.0
1972.0,Bhola,September,42.0
1972.0,Bhola,October,167.0
1972.0,Bhola,November,0.0
1972.0,Bhola,December,0.0
1972.0,Bogra,January,3.0
