@relation R_data_frame

@attribute Year numeric
@attribute Station {Ambagan_ctg,Barisal,Bhola,Bogra,Chandpur,Chittagong,Comilla,CoxsBazar,Dhaka,Dinajpur,Faridpur,Feni,Hatiya,Ishurdi,Jessore,Khepupara,Khulna,Kutubdia,M.court,Madaripur,Mongla,Mymensingh,Patuakhali,Rajshahi,Rangamati,Rangpur,Sandwip,Satkhira,Sitakunda,Srimangal,Sylhet,Tangail,Teknaf}
@attribute Month {April,August,December,February,January,July,June,March,May,November,October,September}
@attribute Rainfall numeric

@data
1970,Barisal,January,0
1970,Barisal,February,24
1970,Barisal,March,5
1970,Barisal,April,91
1970,Barisal,May,124
1970,Barisal,June,408
1970,Barisal,July,530
1970,Barisal,August,317
1970,Barisal,September,571
1970,Barisal,October,253
1970,Barisal,November,90
1970,Barisal,December,0
1970,Bhola,January,0
1970,Bhola,February,26
1970,Bhola,March,4
1970,Bhola,April,70
1970,Bhola,May,69
1970,Bhola,June,402
1970,Bhola,July,233
1970,Bhola,August,287
1970,Bhola,September,503
1970,Bhola,October,288
1970,Bhola,November,9
1970,Bhola,December,0
1970,Bogra,January,0
1970,Bogra,February,0
1970,Bogra,March,0
1970,Bogra,April,0
1970,Bogra,May,113
1970,Bogra,June,506
1970,Bogra,July,629
1970,Bogra,August,171
1970,Bogra,September,201
1970,Bogra,October,164
1970,Bogra,November,10
1970,Bogra,December,0
1970,Chandpur,January,0
1970,Chandpur,February,0
1970,Chandpur,March,13
1970,Chandpur,April,71
1970,Chandpur,May,57
1970,Chandpur,June,387
1970,Chandpur,July,433
1970,Chandpur,August,172
1970,Chandpur,September,208
1970,Chandpur,October,238
1970,Chandpur,November,1
1970,Chandpur,December,0
1970,Chittagong,January,1
1970,Chittagong,February,20
1970,Chittagong,March,2
1970,Chittagong,April,40
1970,Chittagong,May,158
1970,Chittagong,June,313
1970,Chittagong,July,1041
1970,Chittagong,August,405
1970,Chittagong,September,317
1970,Chittagong,October,380
1970,Chittagong,November,151
1970,Chittagong,December,0
1970,Comilla,January,20
1970,Comilla,February,9
1970,Comilla,March,63
1970,Comilla,April,134
1970,Comilla,May,187
1970,Comilla,June,129
1970,Comilla,July,546
1970,Comilla,August,240
1970,Comilla,September,37
1970,Comilla,October,284
1970,Comilla,November,74
1970,Comilla,December,0
1970,CoxsBazar,January,0
1970,CoxsBazar,February,40
1970,CoxsBazar,March,0
1970,CoxsBazar,April,69
1970,CoxsBazar,May,331
1970,CoxsBazar,June,578
1970,CoxsBazar,July,1424
1970,CoxsBazar,August,598
1970,CoxsBazar,September,308
1970,CoxsBazar,October,458
1970,CoxsBazar,November,67
1970,CoxsBazar,December,0
1970,Dhaka,January,16
1970,Dhaka,February,8
1970,Dhaka,March,23
1970,Dhaka,April,45
1970,Dhaka,May,192
