Wage,Age,Club,League,Nation,Position,Apps,Caps
46427000.0,23,PSG,Ligue 1 Uber Eats,FRA,Forward,190,57
42125000.0,30,PSG,Ligue 1 Uber Eats,BRA,Midfilder,324,119
34821000.0,35,PSG,Ligue 1 Uber Eats,ARG,Forward,585,162
19959000.0,31,R. Madrid,La Liga,BEL,Forward,443,120
19500000.0,31,Man UFC,Premier League,ESP,Goalkeeper,480,45
18810000.0,30,R. Madrid,La Liga,AUT,Defender,371,94
18200000.0,29,Inter,Serie A,BEL,Forward,427,102
18200000.0,30,Liverpool,Premier League,EGY,Forward,367,85
18200000.0,27,Chelsea,Premier League,ENG,Midfilder,326,77
18200000.0,29,Man UFC,Premier League,FRA,Defender,287,86
17680000.0,31,Man City,Premier League,BEL,Midfilder,399,91
17680000.0,22,Man City,Premier League,NOR,Forward,159,21
16121000.0,32,R. Madrid,La Liga,GER,Midfilder,433,105
15965000.0,29,A. Madrid,La Liga,SVN,Goalkeeper,368,50
15600000.0,31,Chelsea,Premier League,SEN,Defender,347,61
15600000.0,30,Man UFC,Premier League,BRA,Midfilder,328,63
15476000.0,30,FC Bayern,Bundesliga,SEN,Forward,355,87
15476000.0,34,Barcelona,La Liga,POL,Forward,506,132
15080000.0,31,Chelsea,Premier League,FRA,Midfilder,350,53
15046000.0,32,FC Bayern,Bundesliga,GER,Midfilder,457,115
15046000.0,27,FC Bayern,Bundesliga,GER,Defender,260,68
14616000.0,26,FC Bayern,Bundesliga,GER,Midfilder,205,45
14616000.0,36,FC Bayern,Bundesliga,GER,Goalkeeper,496,112
14432000.0,34,R. Madrid,La Liga,FRA,Forward,532,97
14432000.0,36,R. Madrid,La Liga,CRO,Midfilder,560,152
14300000.0,22,Man UFC,Premier League,ENG,Midfilder,141,23
14040000.0,26,Man City,Premier League,ENG,Midfilder,254,23
13756000.0,23,FC Bayern,Bundesliga,NED,Defender,188,37
13747000.0,30,A. Madrid,La Liga,ESP,Midfilder,456,66
13333000.0,27,A. Madrid,La Liga,ESP,Midfilder,349,19
13272000.0,30,R. Madrid,La Liga,BEL,Goalkeeper,418,94
13000000.0,26,Man UFC,Premier League,FRA,Forward,236,30
13000000.0,27,Man UFC,Premier League,POR,Midfilder,313,46
13000000.0,22,Chelsea,Premier League,ENG,Defender,133,13
12896000.0,27,FC Bayern,Bundesliga,GER,Midfilder,190,34
12896000.0,26,FC Bayern,Bundesliga,FRA,Midfilder,181,40
12480000.0,31,Liverpool,Premier League,NED,Defender,334,47
12381000.0,29,PSG,Ligue 1 Uber Eats,ITA,Midfilder,327,49
12381000.0,28,PSG,Ligue 1 Uber Eats,BRA,Defender,273,69
12070000.0,25,Barcelona,La Liga,NED,Defender,207,43
12037000.0,31,A. Madrid,La Liga,FRA,Forward,462,108
12037000.0,27,FC Bayern,Bundesliga,GER,Midfilder,252,44
11960000.0,21,Chelsea,Premier League,FRA,Defender,55,0
11710000.0,36,PSG,Ligue 1 Uber Eats,ESP,Defender,547,180
11700000.0,31,Liverpool,Premier League,ESP,Midfilder,318,46
11700000.0,24,Man UFC,Premier League,ENG,Forward,210,46
11440000.0,29,Tottenham,Premier League,ENG,Forward,341,73
11440000.0,28,FC Bayern,Bundesliga,POR,Defender,264,36
11177000.0,23,PSG,Ligue 1 Uber Eats,ITA,Goalkeeper,239,46
11177000.0,26,FC Bayern,Bundesliga,FRA,Defender,155,32
11173000.0,22,Juventus,Serie A,SRB,Forward,138,14
10973000.0,29,R. Madrid,La Liga,GER,Defender,282,53
10400000.0,28,Man City,Premier League,ENG,Defender,225,58
10400000.0,29,Man UFC,Premier League,ENG,Defender,374,46
10400000.0,31,Man City,Premier League,ALG,Midfilder,367,75
10385000.0,31,Juventus,Serie A,BRA,Defender,325,37
10380000.0,35,Juventus,Serie A,ITA,Defender,477,116
10380000.0,32,Juventus,Serie A,POL,Goalkeeper,373,64
10346000.0,25,Barcelona,La Liga,CIV,Midfilder,253,56
10346000.0,34,Barcelona,La Liga,ESP,Midfilder,480,137
10346000.0,25,Barcelona,La Liga,FRA,Midfilder,165,27
10346000.0,25,Barcelona,La Liga,BRA,Midfilder,190,9
10346000.0,19,Barcelona,La Liga,ESP,Forward,44,4
10346000.0,26,Barcelona,La Liga,DEN,Defender,160,56
10317000.0,35,Nottm Forest,Premier League,CRC,Goalkeeper,325,107
10244000.0,30,Tottenham,Premier League,KOR,Midfilder,379,102
9887000.0,28,A. Bilbao,La Liga,GHA,Midfilder,309,0
9880000.0,32,Liverpool,Premier League,ENG,Midfilder,406,69
9880000.0,29,Liverpool,Premier League,BRA,Goalkeeper,224,55
9880000.0,25,Chelsea,Premier League,ENG,Defender,147,17
