P3,P6p4,P11p3,P16p2,P19p2,H5p2,H15p1,H40p4,price
7074.0,0.0049639,0.5074781,0.5797286,0.0366129,0.0202439,6.6187845,0.7740586,130600.0
597.0,0.003871,0.48,0.6951424,0.0033501,0.1707317,7.1639344,0.1428571,40500.0
1931.0,0.0023202,0.4777473,0.6835836,0.0,0.1176471,6.1858476,0.6875,28700.0
164.0,0.0,0.4925054,0.7804878,0.0,0.1,6.6198347,1.0,28500.0
119.0,0.0,0.4806452,0.7563025,0.6722689,0.0,6.1616162,0.0,24100.0
164.0,0.0,0.4316703,0.7926829,0.054878,0.25,5.0530973,0.5,14999.0
261.0,0.0,0.4813278,0.7241379,0.0,0.0,6.5921788,0.0,33200.0
32112.0,0.0237825,0.5384666,0.614848,0.2639823,0.0696805,6.711423,0.2487805,66300.0
1209.0,0.0054256,0.5239064,0.674938,0.0041356,0.047138,6.7313054,0.5714286,138000.0
1263.0,0.0213808,0.5142539,0.8859857,0.0095012,0.1142857,6.5510984,0.0,140600.0
983.0,0.1223845,0.5519147,0.671414,0.0325534,0.1136364,7.8426966,0.4,127000.0
4145.0,0.0060555,0.4735853,0.6354644,0.0291918,0.138756,6.5652374,0.2068966,46900.0
67.0,0.0053476,0.4491979,0.7014925,0.0,0.1538462,5.0784314,0.0,14999.0
921.0,0.003761,0.4876724,0.723127,0.3485342,0.2131148,5.9457237,0.3846154,35300.0
342.0,0.0054496,0.5422343,0.6812865,0.005848,0.084,5.8589744,0.2857143,65800.0
65.0,0.0,0.4063604,0.9076923,0.0,0.0,5.0,0.0,14999.0
253.0,0.0008961,0.3664875,0.8656126,0.0039526,0.0,4.047619,0.0,14999.0
505.0,0.0,0.3993743,0.8019802,0.0,0.0380952,4.6923077,0.25,18000.0
147.0,0.0,0.4825871,0.7687075,0.0136054,0.0714286,6.1008403,1.0,44200.0
1348.0,0.0006345,0.4806472,0.6609792,0.0215134,0.2285714,6.0445168,0.625,30000.0
13242.0,0.0453287,0.5256564,0.6607008,0.0939435,0.1980057,5.6792544,0.2517986,175500.0
389.0,0.0009443,0.503305,0.7892031,0.0,0.3461538,6.2808642,0.5555556,33700.0
