WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,YEAR,MONTH,DAY
13.67,0,0.2,0.0,9.5,0.0,3.7,-1.0,1961,01,01
11.5,0,5.1,0.0,7.2,0.0,4.2,1.1,1961,01,02
11.25,0,0.4,0.0,5.5,0.0,0.5,-0.5,1961,01,03
8.63,0,0.2,0.0,5.6,0.0,0.4,-3.2,1961,01,04
11.92,0,10.4,0.0,7.2,1.0,-1.5,-7.5,1961,01,05
10.67,0,0.0,0.0,6.5,0.0,1.2,-2.0,1961,01,06
9.17,0,1.9,0.0,9.2,1.0,-2.4,-7.1,1961,01,07
14.29,0,0.0,0.0,6.6,0.0,3.1,0.0,1961,01,08
8.04,0,8.3,0.0,6.8,0.0,2.4,-0.8,1961,01,09
11.42,0,0.0,0.0,6.5,0.0,3.0,0.5,1961,01,10
7.54,0,0.5,0.0,10.0,1.0,-3.1,-7.7,1961,01,11
4.63,0,0.0,0.0,13.1,0.0,5.5,3.3,1961,01,13
3.08,0,0.0,0.0,5.6,1.0,-3.2,-6.1,1961,01,14
2.5,0,0.0,0.0,4.4,1.0,-5.0,-8.3,1961,01,15
9.25,0,0.0,0.0,4.6,1.0,-4.2,-8.3,1961,01,16
13.42,0,2.0,0.0,9.3,0.0,3.2,-2.7,1961,01,17
17.83,0,8.4,0.0,10.1,0.0,4.3,5.1,1961,01,18
3.71,0,0.9,0.0,6.6,0.0,1.6,-2.0,1961,01,19
3.17,0,21.5,0.0,9.3,1.0,-0.6,-5.4,1961,01,20
8.04,0,0.2,0.0,10.1,0.0,1.6,0.4,1961,01,21
9.38,0,0.3,0.0,6.5,0.0,5.5,1.3,1961,01,22
13.7,0,0.0,0.0,6.5,0.0,5.5,2.2,1961,01,23
20.38,0,9.5,0.0,5.3,0.0,3.4,0.5,1961,01,24
9.25,0,0.0,0.0,4.3,0.0,2.2,1.1,1961,01,25
14.33,0,0.7,0.0,13.0,0.0,2.2,-1.6,1961,01,26
16.79,0,1.5,0.0,12.3,0.0,3.7,2.7,1961,01,27
12.25,0,2.8,0.0,12.0,0.0,4.8,-2.2,1961,01,28
22.0,0,6.2,0.0,12.6,0.0,4.4,1.2,1961,01,29
14.5,0,1.4,0.0,7.8,0.0,3.7,0.8,1961,01,30
14.88,0,4.7,0.0,7.2,0.0,2.1,-0.5,1961,01,31
10.17,0,2.1,0.0,8.7,0.0,1.0,-2.2,1961,02,01
10.88,0,0.1,0.0,8.1,0.0,1.0,1.0,1961,02,02
8.5,0,4.0,0.0,8.1,1.0,-0.6,-5.0,1961,02,03
12.54,0,5.7,0.0,11.3,0.0,0.0,-1.1,1961,02,04
13.96,0,8.6,0.0,13.5,0.0,4.7,2.1,1961,02,05
19.17,0,0.5,0.0,7.8,0.0,2.1,1.5,1961,02,06
14.21,0,0.3,0.0,11.6,0.0,3.2,0.7,1961,02,07
16.5,0,4.4,0.0,14.6,0.0,4.4,2.4,1961,02,08
14.37,0,0.3,0.0,11.7,0.0,6.4,3.2,1961,02,09
11.08,0,0.8,0.0,10.7,0.0,7.3,3.1,1961,02,10
17.5,0,3.5,0.0,11.3,0.0,7.3,3.8,1961,02,11
11.71,0,0.0,0.0,15.5,0.0,7.1,4.3,1961,02,12
16.08,0,0.0,0.0,12.7,0.0,8.8,6.0,1961,02,13
15.46,0,0.0,0.0,13.3,0.0,10.0,7.7,1961,02,14
5.17,0,0.0,0.0,13.8,0.0,2.5,-3.3,1961,02,15
3.42,0,0.0,0.0,12.1,0.0,2.5,-2.6,1961,02,16
6.17,0,0.0,0.0,11.7,0.0,4.4,-0.4,1961,02,17
10.88,0,0.0,0.0,13.3,0.0,6.0,4.3,1961,02,18
9.62,0,0.0,0.0,14.5,0.0,8.2,-0.4,1961,02,19
7.25,0,0.0,0.0,13.1,0.0,5.3,-1.5,1961,02,20
3.75,0,0.0,0.0,8.6,0.0,4.7,-2.1,1961,02,21
8.25,0,0.0,0.0,7.5,0.0,5.1,2.5,1961,02,22
16.38,0,4.6,0.0,8.8,0.0,5.1,2.2,1961,02,23
8.17,0,0.7,0.0,11.0,0.0,6.1,4.4,1961,02,24
13.08,0,3.2,0.0,9.8,0.0,2.7,-1.3,1961,02,25
21.17,0,2.1,0.0,14.5,0.0,5.2,1.0,1961,02,26
12.75,0,3.1,0.0,10.1,0.0,4.8,1.1,1961,02,27
14.75,0,1.0,0.0,10.6,0.0,3.8,0.7,1961,02,28
10.25,0,0.7,0.0,12.7,0.0,8.1,5.0,1961,03,01
10.88,0,0.0,0.0,12.2,0.0,7.2,4.3,1961,03,02
11.29,0,0.0,0.0,12.2,0.0,3.0,-1.6,1961,03,03
6.21,0,0.0,0.0,11.8,0.0,2.8,0.5,1961,03,04
5.5,0,0.0,0.0,17.2,0.0,0.0,-3.2,1961,03,05
2.83,0,0.0,0.0,14.4,0.0,4.3,1.3,1961,03,06
3.63,0,0.0,0.0,14.7,0.0,6.0,2.3,1961,03,07
1.71,0,0.0,0.0,15.1,0.0,4.4,0.8,1961,03,08
3.75,0,0.0,0.0,14.2,0.0,6.1,1.6,1961,03,09
8.79,0,0.0,0.0,11.8,0.0,6.7,3.8,1961,03,10
10.34,0,0.0,0.0,14.6,0.0,5.7,2.4,1961,03,11
13.96,0,0.0,0.0,15.5,0.0,10.5,9.0,1961,03,13
8.12,0,0.0,0.0,15.5,0.0,9.5,5.0,1961,03,14
11.54,0,0.0,0.0,16.2,0.0,7.1,0.5,1961,03,15
2.75,0,0.0,0.0,18.8,0.0,2.2,-1.2,1961,03,16
13.0,0,0.0,0.0,9.7,0.0,2.1,-1.5,1961,03,17
13.17,0,0.5,0.0,10.2,0.0,2.8,0.4,1961,03,18
7.75,0,0.0,2.0,9.6,0.0,3.3,-1.6,1961,03,19
15.41,0,0.0,0.0,11.8,0.0,2.3,-2.2,1961,03,20
8.17,0,0.0,0.0,10.3,0.0,1.7,-1.7,1961,03,21
8.0,0,0.0,0.0,12.7,0.0,3.1,-1.8,1961,03,22
10.88,0,0.0,0.0,9.4,0.0,5.5,5.0,1961,03,23
8.46,0,0.0,0.0,14.5,0.0,6.1,5.2,1961,03,24
10.75,0,0.0,0.0,12.2,0.0,3.2,-1.6,1961,03,25
13.75,0,0.3,0.0,11.8,0.0,8.4,5.5,1961,03,26
6.75,0,0.0,0.0,11.7,1.0,-0.8,-5.0,1961,03,27
10.88,0,1.1,0.0,13.3,0.0,0.4,-2.6,1961,03,28
16.62,0,1.8,0.0,14.7,2.0,7.5,5.5,1961,03,29
14.79,0,1.8,0.0,13.8,0.0,9.5,8.6,1961,03,30
11.92,0,1.1,0.0,14.5,0.0,7.1,2.7,1961,03,31
11.67,0,2.5,0.0,13.7,0.0,8.8,7.7,1961,04,01
5.25,0,0.0,0.0,10.3,0.0,5.2,5.0,1961,04,02
5.5,0,2.6,0.0,6.6,0.0,3.4,3.2,1961,04,03
6.0,0,9.6,0.0,10.8,0.0,3.8,1.6,1961,04,04
9.25,0,4.2,0.0,14.3,0.0,4.7,4.2,1961,04,05
5.0,0,0.0,0.0,11.8,0.0,8.0,6.3,1961,04,06
5.33,0,0.0,0.0,10.2,0.0,1.1,-0.5,1961,04,07
8.71,0,8.1,0.0,12.1,0.0,3.8,-0.8,1961,04,08
9.96,0,1.9,0.0,12.0,0.0,8.8,8.3,1961,04,09
5.21,0,1.9,0.0,14.4,0.0,9.4,9.0,1961,04,10
5.66,0,5.8,0.0,16.1,0.0,3.7,-0.2,1961,04,11
