Model,Fold,MSE,Rank
RandomForestRegressor,7,728933752.7714024,1
SharedKnowledgeRandomForestRegressor,7,739383677.1407336,2
OOBRandomForestRegressor,7,743227423.7410803,3
IQRRandomForestRegressor,7,743615899.1865532,4
OOB_plus_IQR,7,745720089.2194455,5
PercentileTrimmingRandomForestRegressor,7,752356775.2019002,6
OOBRandomForestRegressor,4,790758350.6973202,7
OOB_plus_IQR,4,794872013.4047043,8
PercentileTrimmingRandomForestRegressor,4,796670792.6947204,9
OOB_plus_IQR,5,798649856.575958,10
OOBRandomForestRegressor,5,798742366.9872082,11
SharedKnowledgeRandomForestRegressor,4,801730692.8141595,12
RandomForestRegressor,4,802875669.1210948,13
SharedKnowledgeRandomForestRegressor,5,803400077.6058056,14
IQRRandomForestRegressor,5,803631783.1082953,15
PercentileTrimmingRandomForestRegressor,5,804176897.652664,16
IQRRandomForestRegressor,4,813660240.060624,17
RandomForestRegressor,5,815678574.6250528,18
SharedKnowledgeRandomForestRegressor,9,821094463.2560127,19
SharedKnowledgeRandomForestRegressor,6,823850224.7296703,20
OOB_plus_IQR,6,825576052.8883057,21
PercentileTrimmingRandomForestRegressor,6,826488842.1808532,22
OOBRandomForestRegressor,6,826825731.2681444,23
IQRRandomForestRegressor,6,830222973.8052895,24
RandomForestRegressor,6,833708336.9095097,25
IQRRandomForestRegressor,9,838439732.5873333,26
OOB_plus_IQR,9,842109764.7174606,27
OOBRandomForestRegressor,9,843894352.296076,28
PercentileTrimmingRandomForestRegressor,9,844094270.865858,29
RandomForestRegressor,9,859003785.848814,30
RFRegressorFirstSplitCombiner,7,895564302.8139777,31
OOB_plus_IQR,1,938173891.8392955,32
PercentileTrimmingRandomForestRegressor,1,940708993.6747785,33
SharedKnowledgeRandomForestRegressor,1,940913651.9385139,34
RandomForestRegressor,1,942135942.4254717,35
OOBRandomForestRegressor,1,943273259.5781714,36
IQRRandomForestRegressor,1,944595438.4202824,37
RFRegressorFirstSplitCombiner,4,995605138.2002158,38
SharedKnowledgeRandomForestRegressor,2,1004314122.8877431,39
PercentileTrimmingRandomForestRegressor,2,1010838524.182254,40
IQRRandomForestRegressor,2,1013675431.6713157,41
OOB_plus_IQR,2,1013891381.6851553,42
OOBRandomForestRegressor,2,1016670120.9109795,43
RandomForestRegressor,2,1029262295.2826855,44
PercentileTrimmingRandomForestRegressor,10,1086770348.5515482,45
RandomForestRegressor,10,1087474514.037471,46
IQRRandomForestRegressor,10,1088940549.304915,47
OOB_plus_IQR,10,1091693485.858219,48
OOBRandomForestRegressor,10,1094087234.1554558,49
SharedKnowledgeRandomForestRegressor,10,1094958582.579758,50
RFRegressorFirstSplitCombiner,1,1124385763.9217625,51
RFRegressorFirstSplitCombiner,6,1210056563.1380594,52
OOB_plus_IQR,8,1228282431.1985953,53
OOBRandomForestRegressor,8,1229578427.2625744,54
PercentileTrimmingRandomForestRegressor,8,1231401562.0385478,55
SharedKnowledgeRandomForestRegressor,8,1231645142.9703388,56
IQRRandomForestRegressor,8,1232437591.6474307,57
RandomForestRegressor,8,1247039696.3278356,58
SharedKnowledgeRandomForestRegressor,3,1270438149.7613208,59
RandomForestRegressor,3,1282428715.8350322,60
RFRegressorFirstSplitCombiner,9,1288360239.0690458,61
OOBRandomForestRegressor,3,1292361361.7064092,62
IQRRandomForestRegressor,3,1292952062.0909834,63
OOB_plus_IQR,3,1293396802.9593883,64
PercentileTrimmingRandomForestRegressor,3,1300776456.975851,65
RFRegressorFirstSplitCombiner,5,1308661782.7537801,66
RFRegressorFirstSplitCombiner,2,1520279223.8594503,67
RFRegressorFirstSplitCombiner,10,1585876891.95086,68
RFRegressorFirstSplitCombiner,3,1741098100.5658715,69
RFRegressorFirstSplitCombiner,8,1865582052.0106943,70
