Model,Fold,MSE,Rank
SharedKnowledgeRandomForestRegressor,5,15510.173932375461,1
OOBRandomForestRegressor,5,15523.200084085554,2
OOBPlusIQRRandomForestRegressor,5,15523.200084085554,2
IQRRandomForestRegressor,5,15563.994020503058,3
RandomForestRegressor,5,15610.102198285587,4
PercentileTrimmingRandomForestRegressor,5,15730.478238755717,5
RandomForestRegressor,1,16506.931159659565,6
IQRRandomForestRegressor,1,16636.255695574317,7
PercentileTrimmingRandomForestRegressor,1,16664.27528007384,8
SharedKnowledgeRandomForestRegressor,1,16667.17448165426,9
SharedKnowledgeRandomForestRegressor,7,16693.23252134548,10
OOBPlusIQRRandomForestRegressor,1,16707.70117209615,11
OOBRandomForestRegressor,1,16707.70117209615,11
SharedKnowledgeRandomForestRegressor,6,16820.763369042386,12
IQRRandomForestRegressor,7,16821.291661005926,13
IQRRandomForestRegressor,6,16852.15979883412,14
OOBPlusIQRRandomForestRegressor,7,16864.32803294338,15
OOBRandomForestRegressor,7,16864.32803294338,15
OOBRandomForestRegressor,6,16939.129694617983,16
OOBPlusIQRRandomForestRegressor,6,16939.129694617983,16
RandomForestRegressor,7,17000.90493615433,17
PercentileTrimmingRandomForestRegressor,6,17016.65148678759,18
RandomForestRegressor,6,17051.996129155224,19
PercentileTrimmingRandomForestRegressor,7,17054.160997191295,20
IQRRandomForestRegressor,9,17241.13040160207,21
OOBRandomForestRegressor,9,17276.2965176689,22
OOBPlusIQRRandomForestRegressor,9,17276.2965176689,22
SharedKnowledgeRandomForestRegressor,9,17379.152513047986,23
PercentileTrimmingRandomForestRegressor,9,17425.53175211054,24
RandomForestRegressor,9,17446.59964523947,25
OOBRandomForestRegressor,10,17775.202185379447,26
OOBPlusIQRRandomForestRegressor,10,17775.202185379447,26
IQRRandomForestRegressor,10,17821.1030833379,27
SharedKnowledgeRandomForestRegressor,10,17882.268729927142,28
RandomForestRegressor,10,17923.64545565708,29
PercentileTrimmingRandomForestRegressor,10,18003.555137781725,30
RandomForestRegressor,4,18077.68074468573,31
OOBRandomForestRegressor,4,18119.510640689106,32
OOBPlusIQRRandomForestRegressor,4,18119.510640689106,32
IQRRandomForestRegressor,4,18136.99835075048,33
SharedKnowledgeRandomForestRegressor,4,18363.896690356345,34
PercentileTrimmingRandomForestRegressor,4,18428.364957357382,35
IQRRandomForestRegressor,2,18790.39482089144,36
OOBRandomForestRegressor,2,18806.38772392809,37
OOBPlusIQRRandomForestRegressor,2,18806.38772392809,37
RandomForestRegressor,3,18819.42637789102,38
IQRRandomForestRegressor,3,18900.655712258627,39
SharedKnowledgeRandomForestRegressor,3,18945.5413358574,40
RandomForestRegressor,2,18950.407757093984,41
SharedKnowledgeRandomForestRegressor,2,18981.186536959576,42
PercentileTrimmingRandomForestRegressor,2,19019.895476464346,43
OOBRandomForestRegressor,3,19037.95485788919,44
OOBPlusIQRRandomForestRegressor,3,19037.95485788919,44
PercentileTrimmingRandomForestRegressor,3,19126.1641274311,45
SharedKnowledgeRandomForestRegressor,8,22765.372197930013,46
OOBRandomForestRegressor,8,23541.6298896633,47
OOBPlusIQRRandomForestRegressor,8,23541.6298896633,47
RandomForestRegressor,8,23610.51058553703,48
IQRRandomForestRegressor,8,23672.0429262799,49
PercentileTrimmingRandomForestRegressor,8,23699.406263204128,50
FirstSplitCombinerRandomForestRegressor,6,25813.29015449886,51
FirstSplitCombinerRandomForestRegressor,5,27842.644171575346,52
FirstSplitCombinerRandomForestRegressor,7,30024.684292630376,53
FirstSplitCombinerRandomForestRegressor,3,30026.96433123666,54
FirstSplitCombinerRandomForestRegressor,10,30072.944195152904,55
FirstSplitCombinerRandomForestRegressor,2,30078.31635517567,56
FirstSplitCombinerRandomForestRegressor,1,31129.449874920294,57
FirstSplitCombinerRandomForestRegressor,4,31276.416105558426,58
FirstSplitCombinerRandomForestRegressor,9,32446.849045653064,59
FirstSplitCombinerRandomForestRegressor,8,39017.30640728227,60
