Model,Fold,MSE,Rank
IQRRandomForestRegressor,7,13.73288209194775,1
PercentileTrimmingRandomForestRegressor,5,13.954499819193474,2
IQRRandomForestRegressor,5,13.963040447489993,3
OOBRandomForestRegressor,5,14.013035845730093,4
OOBRandomForestRegressor,7,14.021386329524413,5
PercentileTrimmingRandomForestRegressor,7,14.023567314173238,6
SharedKnowledgeRandomForestRegressor,3,14.061599970177825,7
OOB_plus_IQR,7,14.080036170230576,8
SharedKnowledgeRandomForestRegressor,7,14.084269642161201,9
OOB_plus_IQR,5,14.093417542669853,10
SharedKnowledgeRandomForestRegressor,5,14.152350935807648,11
RandomForestRegressor,7,14.259229267005054,12
RandomForestRegressor,5,14.40993074054148,13
RandomForestRegressor,3,14.49040408033927,14
OOBRandomForestRegressor,3,14.605777412940872,15
OOB_plus_IQR,3,14.64454640535576,16
IQRRandomForestRegressor,3,14.665465561430478,17
PercentileTrimmingRandomForestRegressor,3,14.67606938972439,18
IQRRandomForestRegressor,8,15.023089412685112,19
OOB_plus_IQR,8,15.035672168515708,20
OOBRandomForestRegressor,8,15.11731153273897,21
PercentileTrimmingRandomForestRegressor,8,15.122247395492519,22
RandomForestRegressor,8,15.14093517574173,23
RFRegressorFirstSplitCombiner,7,15.483873400371563,24
PercentileTrimmingRandomForestRegressor,10,15.735865917275019,25
OOBRandomForestRegressor,10,15.833004018553615,26
IQRRandomForestRegressor,10,15.889168903881945,27
OOB_plus_IQR,10,15.962097532708261,28
RandomForestRegressor,10,16.02640034949915,29
SharedKnowledgeRandomForestRegressor,8,16.05261837318602,30
SharedKnowledgeRandomForestRegressor,10,16.056707428883833,31
RFRegressorFirstSplitCombiner,9,16.201548441835403,32
RFRegressorFirstSplitCombiner,3,16.231114361211244,33
SharedKnowledgeRandomForestRegressor,9,16.371029105489573,34
RandomForestRegressor,9,16.513669286004433,35
OOB_plus_IQR,9,16.91199981697891,36
OOBRandomForestRegressor,9,16.960292264772708,37
IQRRandomForestRegressor,9,17.022438240113093,38
PercentileTrimmingRandomForestRegressor,9,17.140622934589167,39
SharedKnowledgeRandomForestRegressor,6,17.540980603238392,40
OOBRandomForestRegressor,6,17.614913863023386,41
OOB_plus_IQR,6,17.709993070348187,42
RandomForestRegressor,6,17.729772947174776,43
IQRRandomForestRegressor,6,17.835330238014087,44
PercentileTrimmingRandomForestRegressor,6,17.836422033519874,45
OOBRandomForestRegressor,4,18.436069035718024,46
PercentileTrimmingRandomForestRegressor,4,18.444265403569542,47
OOB_plus_IQR,4,18.461814574629273,48
RandomForestRegressor,4,18.4957463382657,49
SharedKnowledgeRandomForestRegressor,4,18.500871594571773,50
RFRegressorFirstSplitCombiner,10,18.50921890356093,51
IQRRandomForestRegressor,4,18.533246359271196,52
RFRegressorFirstSplitCombiner,5,18.572561043483276,53
PercentileTrimmingRandomForestRegressor,2,18.78153018692036,54
OOBRandomForestRegressor,2,18.80623839581433,55
OOB_plus_IQR,2,18.83916461569299,56
RandomForestRegressor,2,18.860825138254324,57
IQRRandomForestRegressor,2,18.89154845754889,58
SharedKnowledgeRandomForestRegressor,2,18.899188204103993,59
RFRegressorFirstSplitCombiner,8,19.6908816365116,60
RFRegressorFirstSplitCombiner,6,19.714562489240848,61
OOB_plus_IQR,1,20.367336440278642,62
RandomForestRegressor,1,20.392200898750076,63
OOBRandomForestRegressor,1,20.458214752019643,64
IQRRandomForestRegressor,1,20.489211374318547,65
SharedKnowledgeRandomForestRegressor,1,20.52738396766703,66
PercentileTrimmingRandomForestRegressor,1,20.706688532314846,67
RFRegressorFirstSplitCombiner,1,21.98232485237466,68
RFRegressorFirstSplitCombiner,4,22.286878439815553,69
RFRegressorFirstSplitCombiner,2,22.37122228533358,70
