Model,Fold,MSE,Rank
PercentileTrimmingRandomForestRegressor,2,2.5936343771943653,1
RandomForestRegressor,2,2.6111007073723833,2
SharedKnowledgeRandomForestRegressor,2,2.6173585497176535,3
IQRRandomForestRegressor,2,2.6364258624600994,4
OOBPlusIQRRandomForestRegressor,2,2.6890815816231797,5
OOBRandomForestRegressor,2,2.6890815816231797,5
OOBRandomForestRegressor,7,3.461429396646352,6
OOBPlusIQRRandomForestRegressor,7,3.461429396646352,6
IQRRandomForestRegressor,7,3.47403817122623,7
PercentileTrimmingRandomForestRegressor,7,3.4816339927911715,8
RandomForestRegressor,7,3.5148071181033176,9
PercentileTrimmingRandomForestRegressor,9,3.5315183269575763,10
IQRRandomForestRegressor,9,3.5339139570124933,11
OOBRandomForestRegressor,3,3.5412769186602024,12
OOBPlusIQRRandomForestRegressor,3,3.5412769186602024,12
OOBRandomForestRegressor,9,3.573573600898251,13
OOBPlusIQRRandomForestRegressor,9,3.573573600898251,13
SharedKnowledgeRandomForestRegressor,3,3.5798612716519127,14
SharedKnowledgeRandomForestRegressor,9,3.5840488775510204,15
SharedKnowledgeRandomForestRegressor,7,3.6121627645893075,16
IQRRandomForestRegressor,3,3.6202463529585316,17
PercentileTrimmingRandomForestRegressor,3,3.6305486869011463,18
OOBPlusIQRRandomForestRegressor,10,3.6468541847851843,19
OOBRandomForestRegressor,10,3.6468541847851843,19
RandomForestRegressor,3,3.658420759790224,20
RandomForestRegressor,9,3.6617882775999533,21
IQRRandomForestRegressor,10,3.713196023141492,22
SharedKnowledgeRandomForestRegressor,10,3.737515760507674,23
PercentileTrimmingRandomForestRegressor,10,3.7464398777094634,24
RandomForestRegressor,10,3.815497445256145,25
OOBRandomForestRegressor,8,3.988847684056817,26
OOBPlusIQRRandomForestRegressor,8,3.988847684056817,26
PercentileTrimmingRandomForestRegressor,8,4.007600214961707,27
IQRRandomForestRegressor,8,4.015691330619204,28
SharedKnowledgeRandomForestRegressor,8,4.022634153552155,29
RandomForestRegressor,8,4.025220801130471,30
OOBRandomForestRegressor,6,4.346484515662449,31
OOBPlusIQRRandomForestRegressor,6,4.346484515662449,31
RandomForestRegressor,6,4.358537443310201,32
SharedKnowledgeRandomForestRegressor,6,4.365595516953481,33
IQRRandomForestRegressor,6,4.369369285830596,34
PercentileTrimmingRandomForestRegressor,6,4.387644941489607,35
SharedKnowledgeRandomForestRegressor,1,4.859265241998777,36
RandomForestRegressor,4,4.870876723577952,37
OOBPlusIQRRandomForestRegressor,4,4.905937473315497,38
OOBRandomForestRegressor,4,4.905937473315497,38
IQRRandomForestRegressor,4,4.907799137099471,39
SharedKnowledgeRandomForestRegressor,4,4.908254075023195,40
IQRRandomForestRegressor,1,4.916743984345869,41
PercentileTrimmingRandomForestRegressor,4,4.918372701920605,42
PercentileTrimmingRandomForestRegressor,1,4.9513021764065925,43
OOBRandomForestRegressor,1,4.9573464310022635,44
OOBPlusIQRRandomForestRegressor,1,4.9573464310022635,44
RandomForestRegressor,1,5.006246879347925,45
OOBRandomForestRegressor,5,5.344953623112396,46
OOBPlusIQRRandomForestRegressor,5,5.344953623112396,46
RandomForestRegressor,5,5.362567031757529,47
IQRRandomForestRegressor,5,5.425738749719293,48
PercentileTrimmingRandomForestRegressor,5,5.431351888182127,49
SharedKnowledgeRandomForestRegressor,5,5.440652404081632,50
