Model,Fold,MSE,Rank
OOBRandomForestRegressor,6,219626.05175510378,1
OOB_plus_IQR,6,220018.75965581348,2
IQRRandomForestRegressor,6,221685.0990322191,3
SharedKnowledgeRandomForestRegressor,6,221735.15631028026,4
PercentileTrimmingRandomForestRegressor,6,223235.20642855202,5
PercentileTrimmingRandomForestRegressor,3,223237.68582024274,6
RandomForestRegressor,6,223837.15522509228,7
IQRRandomForestRegressor,3,223963.577471703,8
RandomForestRegressor,3,224435.4894163316,9
OOB_plus_IQR,3,224960.7319886714,10
OOBRandomForestRegressor,3,225963.5937247296,11
OOBRandomForestRegressor,1,226485.1493316836,12
SharedKnowledgeRandomForestRegressor,1,227177.422231885,13
RandomForestRegressor,1,227370.464780868,14
SharedKnowledgeRandomForestRegressor,3,227639.58508123204,15
OOB_plus_IQR,1,230364.44703252907,16
IQRRandomForestRegressor,1,231118.5893483765,17
PercentileTrimmingRandomForestRegressor,1,231349.01203641176,18
OOB_plus_IQR,7,234270.29150446274,19
SharedKnowledgeRandomForestRegressor,7,234414.2073207419,20
IQRRandomForestRegressor,7,235863.44786446364,21
OOBRandomForestRegressor,7,237262.6701175484,22
PercentileTrimmingRandomForestRegressor,7,238727.65383094514,23
RandomForestRegressor,7,239410.77382900153,24
RandomForestRegressor,10,265857.3364381005,25
PercentileTrimmingRandomForestRegressor,10,266813.5154335039,26
SharedKnowledgeRandomForestRegressor,10,269693.5078017715,27
OOB_plus_IQR,5,270346.3596957606,28
OOBRandomForestRegressor,5,270553.2306575228,29
SharedKnowledgeRandomForestRegressor,5,270889.0379097025,30
OOB_plus_IQR,10,271041.5997108382,31
RandomForestRegressor,5,272362.939749145,32
IQRRandomForestRegressor,5,272471.1923238289,33
OOBRandomForestRegressor,10,272775.2695347325,34
PercentileTrimmingRandomForestRegressor,5,273572.31598482316,35
IQRRandomForestRegressor,10,275959.62026611326,36
SharedKnowledgeRandomForestRegressor,2,277779.4774473203,37
IQRRandomForestRegressor,2,277883.3468616992,38
OOBRandomForestRegressor,2,279236.8827627182,39
RandomForestRegressor,2,280027.00532825914,40
OOB_plus_IQR,2,280246.7190648409,41
PercentileTrimmingRandomForestRegressor,2,282999.2903667168,42
IQRRandomForestRegressor,9,292197.9562113296,43
RandomForestRegressor,9,294178.13381492486,44
OOBRandomForestRegressor,9,295237.25718231394,45
PercentileTrimmingRandomForestRegressor,9,295253.8487043849,46
SharedKnowledgeRandomForestRegressor,9,295254.7197199825,47
OOB_plus_IQR,9,296429.24353899766,48
SharedKnowledgeRandomForestRegressor,4,312158.0332759575,49
PercentileTrimmingRandomForestRegressor,4,314830.82327750546,50
OOBRandomForestRegressor,4,315079.234234912,51
IQRRandomForestRegressor,4,317109.0657947023,52
OOB_plus_IQR,4,317226.3766850874,53
RandomForestRegressor,4,322538.73059012543,54
RandomForestRegressor,8,357921.9416202697,55
SharedKnowledgeRandomForestRegressor,8,359087.5771710431,56
OOB_plus_IQR,8,362591.2956191312,57
OOBRandomForestRegressor,8,363260.484448954,58
PercentileTrimmingRandomForestRegressor,8,364390.83172569296,59
IQRRandomForestRegressor,8,365903.440898842,60
