Model,Fold,MSE,Rank
IQRRandomForestRegressor,7,13.73288209194775,1
PercentileTrimmingRandomForestRegressor,5,13.954499819193474,2
IQRRandomForestRegressor,5,13.963040447489993,3
OOBRandomForestRegressor,5,14.013035845730093,4
OOBRandomForestRegressor,7,14.021386329524413,5
PercentileTrimmingRandomForestRegressor,7,14.023567314173238,6
SharedKnowledgeRandomForestRegressor,3,14.061599970177825,7
OOB_plus_IQR,7,14.080036170230576,8
SharedKnowledgeRandomForestRegressor,7,14.084269642161201,9
OOB_plus_IQR,5,14.093417542669853,10
SharedKnowledgeRandomForestRegressor,5,14.152350935807648,11
RandomForestRegressor,7,14.259229267005054,12
RandomForestRegressor,5,14.40993074054148,13
RandomForestRegressor,3,14.49040408033927,14
OOBRandomForestRegressor,3,14.605777412940872,15
OOB_plus_IQR,3,14.64454640535576,16
IQRRandomForestRegressor,3,14.665465561430478,17
PercentileTrimmingRandomForestRegressor,3,14.67606938972439,18
IQRRandomForestRegressor,8,15.023089412685112,19
OOB_plus_IQR,8,15.035672168515708,20
OOBRandomForestRegressor,8,15.11731153273897,21
PercentileTrimmingRandomForestRegressor,8,15.122247395492519,22
RandomForestRegressor,8,15.14093517574173,23
PercentileTrimmingRandomForestRegressor,10,15.735865917275019,24
OOBRandomForestRegressor,10,15.833004018553615,25
IQRRandomForestRegressor,10,15.889168903881945,26
OOB_plus_IQR,10,15.962097532708261,27
RandomForestRegressor,10,16.02640034949915,28
SharedKnowledgeRandomForestRegressor,8,16.05261837318602,29
SharedKnowledgeRandomForestRegressor,10,16.056707428883833,30
SharedKnowledgeRandomForestRegressor,9,16.371029105489573,31
RandomForestRegressor,9,16.513669286004433,32
OOB_plus_IQR,9,16.91199981697891,33
OOBRandomForestRegressor,9,16.960292264772708,34
IQRRandomForestRegressor,9,17.022438240113093,35
PercentileTrimmingRandomForestRegressor,9,17.140622934589167,36
SharedKnowledgeRandomForestRegressor,6,17.540980603238392,37
OOBRandomForestRegressor,6,17.614913863023386,38
OOB_plus_IQR,6,17.709993070348187,39
RandomForestRegressor,6,17.729772947174776,40
IQRRandomForestRegressor,6,17.835330238014087,41
PercentileTrimmingRandomForestRegressor,6,17.836422033519874,42
OOBRandomForestRegressor,4,18.436069035718024,43
PercentileTrimmingRandomForestRegressor,4,18.444265403569542,44
OOB_plus_IQR,4,18.461814574629273,45
RandomForestRegressor,4,18.4957463382657,46
SharedKnowledgeRandomForestRegressor,4,18.500871594571773,47
IQRRandomForestRegressor,4,18.533246359271196,48
PercentileTrimmingRandomForestRegressor,2,18.78153018692036,49
OOBRandomForestRegressor,2,18.80623839581433,50
OOB_plus_IQR,2,18.83916461569299,51
RandomForestRegressor,2,18.860825138254324,52
IQRRandomForestRegressor,2,18.89154845754889,53
SharedKnowledgeRandomForestRegressor,2,18.899188204103993,54
OOB_plus_IQR,1,20.367336440278642,55
RandomForestRegressor,1,20.392200898750076,56
OOBRandomForestRegressor,1,20.458214752019643,57
IQRRandomForestRegressor,1,20.489211374318547,58
SharedKnowledgeRandomForestRegressor,1,20.52738396766703,59
PercentileTrimmingRandomForestRegressor,1,20.706688532314846,60
