n_estimators,group_size,max_features
800.0,16.0,-2.0
400.0,16.0,-2.0
900.0,18.0,-2.0
900.0,15.0,-2.0
950.0,19.0,-1.0
900.0,18.0,-1.0
1500.0,15.0,-2.0
750.0,15.0,-2.0
850.0,17.0,-1.0
1500.0,15.0,-1.0
80.0,16.0,-1.0
600.0,15.0,-2.0
300.0,15.0,-1.0
800.0,16.0,-1.0
450.0,18.0,-1.0
900.0,15.0,-1.0
850.0,17.0,-2.0
270.0,18.0,-1.0
700.0,14.0,-2.0
160.0,16.0,-1.0
240.0,16.0,-2.0
180.0,18.0,-1.0
240.0,16.0,-1.0
170.0,17.0,-1.0
450.0,15.0,-2.0
750.0,15.0,-1.0
350.0,14.0,-2.0
950.0,19.0,-2.0
450.0,18.0,-2.0
180.0,15.0,-1.0
270.0,15.0,-1.0
400.0,16.0,-1.0
240.0,15.0,-1.0
300.0,15.0,-2.0
600.0,15.0,-1.0
120.0,15.0,-1.0
650.0,13.0,-2.0
450.0,15.0,-1.0
280.0,14.0,-1.0
60.0,12.0,-2.0
270.0,18.0,-2.0
350.0,14.0,-1.0
90.0,15.0,-1.0
280.0,14.0,-2.0
210.0,15.0,-1.0
260.0,13.0,-2.0
190.0,19.0,-1.0
270.0,15.0,-2.0
260.0,13.0,-1.0
110.0,11.0,-2.0
60.0,12.0,0.45
60.0,12.0,0.4
60.0,10.0,-2.0
60.0,10.0,0.4
60.0,10.0,0.45
50.0,10.0,-2.0
50.0,10.0,0.4
50.0,10.0,0.45
130.0,13.0,0.4
130.0,13.0,0.45
130.0,13.0,-2.0
90.0,10.0,-2.0
90.0,10.0,0.45
90.0,10.0,0.4
90.0,9.0,-2.0
90.0,9.0,0.4
90.0,9.0,0.45
80.0,8.0,0.4
80.0,8.0,0.45
80.0,8.0,-2.0
60.0,15.0,0.45
60.0,15.0,-2.0
60.0,15.0,0.4
70.0,10.0,-2.0
70.0,10.0,0.45
70.0,10.0,0.4
100.0,10.0,0.4
100.0,10.0,0.45
100.0,10.0,-2.0
110.0,10.0,0.4
110.0,10.0,-2.0
110.0,10.0,0.45
80.0,10.0,0.45
80.0,10.0,-2.0
80.0,10.0,0.4
220.0,11.0,0.3
220.0,11.0,-1.0
220.0,11.0,0.35
230.0,10.0,0.3
230.0,10.0,-1.0
230.0,10.0,0.35
200.0,10.0,0.35
200.0,10.0,0.3
200.0,10.0,-1.0
650.0,13.0,0.4
650.0,13.0,0.45
240.0,10.0,0.3
240.0,10.0,0.35
100.0,10.0,-1.0
100.0,10.0,0.3
100.0,10.0,0.35
110.0,10.0,-1.0
110.0,10.0,0.35
110.0,10.0,0.3
90.0,10.0,0.3
90.0,10.0,0.35
90.0,10.0,-1.0
120.0,10.0,-1.0
120.0,10.0,-2.0
120.0,10.0,0.35
120.0,10.0,0.3
140.0,10.0,-2.0
140.0,10.0,0.35
140.0,10.0,-1.0
140.0,10.0,0.3
130.0,10.0,0.35
130.0,10.0,-2.0
130.0,10.0,-1.0
130.0,10.0,0.3
90.0,18.0,-2.0
90.0,18.0,0.3
90.0,18.0,0.35
90.0,18.0,-1.0
120.0,12.0,-1.0
120.0,12.0,0.35
120.0,12.0,0.3
120.0,12.0,-2.0
50.0,10.0,0.35
50.0,10.0,-1.0
50.0,10.0,0.3
130.0,13.0,0.3
130.0,13.0,0.35
130.0,13.0,-1.0
120.0,15.0,0.35
120.0,15.0,0.3
120.0,15.0,-2.0
60.0,12.0,-1.0
60.0,12.0,0.35
60.0,12.0,0.3
80.0,10.0,0.3
