n_estimators,group_size,max_depth
150,3,None
160,40,17
180,3,17
160,5,20
140,35,17
180,45,20
170,5,20
160,4,17
140,20,17
140,5,20
160,10,19
210,5,20
150,5,17
150,3,50
150,3,43
150,3,47
150,3,36
150,3,41
180,3,24
240,3,19
180,3,31
180,3,48
180,3,32
180,3,33
180,3,43
180,3,41
180,3,35
230,5,20
180,15,19
200,5,20
180,45,19
160,4,20
300,3,20
170,10,19
160,10,17
250,10,19
180,45,16
260,5,20
150,3,19
180,3,16
130,5,20
270,3,19
180,20,20
190,10,19
450,3,20
180,6,20
270,3,18
210,7,20
210,3,21
180,3,15
2250,3,27
2250,3,28
2250,3,32
3750,3,46
3750,3,45
3750,3,41
3750,3,42
3750,3,38
2250,3,34
2250,3,33
2250,3,48
2250,3,50
2250,3,42
2250,3,44
3750,3,29
3500,4,41
3500,4,46
3500,4,47
3500,4,37
3500,4,33
3750,3,21
600,3,27
3000,3,39
3000,3,34
3000,3,50
3000,3,36
2250,3,22
160,4,49
160,4,38
160,4,43
160,4,40
160,4,45
160,4,41
3000,4,32
2500,4,29
3750,3,19
2500,4,23
3000,4,None
3000,4,50
3000,4,49
3000,4,38
2500,4,None
2500,4,49
160,4,34
2000,4,32
2500,4,38
2500,4,37
1650,3,28
3000,3,20
2500,4,35
80,4,12
90,3,11
90,3,13
90,3,15
90,3,30
90,3,37
90,3,14
600,3,15
600,3,11
450,3,11
90,3,22
100,5,12
450,3,14
270,3,21
60,3,13
160,4,12
600,3,19
70,7,12
120,4,12
1050,3,11
600,3,31
80,8,11
600,3,29
600,3,33
600,3,40
600,3,48
600,3,44
600,3,46
600,3,45
600,3,37
210,3,19
600,3,18
600,3,17
900,3,11
450,3,17
750,3,15
90,10,12
270,3,32
270,3,34
270,3,50
270,3,47
1050,3,15
450,3,25
300,3,21
450,3,31
450,3,27
