n_estimators,group_size,max_depth
160,5,17
150,10,17
150,25,17
160,4,20
160,20,20
180,3,20
180,15,20
180,20,20
180,30,20
150,6,20
170,10,21
240,5,20
140,10,20
170,10,18
180,45,21
180,10,21
180,6,21
210,3,17
240,10,17
180,30,18
170,10,26
170,10,47
200,50,17
400,50,20
400,40,20
160,5,19
150,10,18
350,50,20
240,8,18
160,5,37
240,20,18
160,4,25
160,8,41
160,8,37
160,20,14
140,5,21
160,20,45
160,20,39
160,20,27
140,10,21
160,10,43
160,40,29
160,40,32
160,20,25
180,4,23
150,3,42
180,9,24
240,6,19
200,4,18
140,7,18
120,3,17
600,30,27
600,25,27
850,5,32
130,10,32
120,10,17
850,5,22
180,3,32
100,5,17
850,25,27
750,50,27
700,10,32
130,5,43
850,10,28
850,25,34
850,25,28
850,5,40
750,10,27
850,50,45
850,50,35
850,25,40
750,6,22
160,4,42
160,4,46
160,4,43
160,5,35
750,10,29
900,30,29
190,5,32
150,10,32
500,5,27
600,50,29
850,50,31
600,30,29
500,10,27
700,10,33
600,20,29
130,10,36
130,10,38
260,4,32
450,6,27
160,40,45
160,40,37
160,40,50
700,10,34
260,20,32
350,35,23
1500,15,28
160,20,48
80,8,12
90,6,12
80,4,11
80,8,19
90,10,11
100,20,19
80,20,15
90,5,15
70,35,19
80,4,35
80,4,49
80,4,45
80,10,46
80,20,48
80,20,42
80,20,49
80,20,40
80,40,50
80,40,31
80,40,30
80,20,27
80,5,29
80,8,31
80,5,35
80,5,36
80,10,24
80,8,26
80,10,14
90,45,18
270,5,12
80,5,14
270,6,12
100,4,11
90,5,18
90,9,18
100,5,11
600,30,12
600,50,12
600,5,12
90,15,36
90,15,31
90,15,38
90,15,50
90,10,38
90,10,37
90,10,46
90,45,31
90,30,46
90,30,38
90,30,39
