n_estimators,group_size,max_depth,percentile
150,15,17,3
150,50,44,1
150,50,34,2
180,45,29,2
140,35,21,1
180,30,20,4
210,35,20,3
180,9,17,12
90,45,20,2
180,30,41,3
350,50,17,2
170,5,20,10
150,30,23,3
180,45,36,3
150,25,18,4
250,50,31,2
160,5,17,7
450,45,20,2
180,30,14,3
200,25,18,4
160,10,20,5
140,35,43,1
170,10,20,2
150,50,40,4
400,50,14,1
160,40,45,5
160,10,19,2
250,50,18,4
250,50,22,1
150,15,21,3
180,20,40,4
180,20,46,1
180,20,45,3
350,35,18,1
450,50,20,4
150,25,20,10
280,40,19,5
180,4,20,14
180,4,20,4
280,8,19,13
280,20,19,2
400,40,19,1
180,3,49,10
180,3,29,14
180,3,45,1
180,3,44,10
180,15,48,6
180,15,49,6
160,20,35,2
160,20,26,1
700,25,27,1
140,35,37,4
650,50,27,2
700,20,22,4
140,20,44,5
400,20,21,1
850,25,28,4
700,50,22,5
450,30,21,3
350,50,23,3
160,20,35,3
150,25,44,6
160,20,38,3
1500,20,29,3
700,20,36,2
700,50,19,4
350,25,23,4
450,15,23,1
180,20,49,1
900,20,25,3
600,15,32,6
850,25,23,4
900,45,32,2
1500,25,28,4
750,50,32,3
850,25,32,4
900,30,21,2
180,20,33,2
180,45,45,1
600,40,27,8
400,20,22,1
700,35,35,2
900,45,29,3
120,40,32,2
140,10,32,4
700,35,19,3
800,50,27,1
500,25,22,3
600,50,21,2
400,20,44,1
600,15,23,1
900,20,37,2
700,25,28,3
450,50,22,3
900,20,45,5
900,20,39,1
900,20,46,4
900,20,39,4
150,50,37,5
150,50,46,6
80,10,12,11
90,30,12,3
80,40,12,7
80,5,12,1
100,10,12,2
90,6,12,7
90,30,12,5
100,5,12,1
80,40,18,1
80,4,11,10
120,40,12,1
60,4,12,9
80,8,11,2
270,15,12,5
180,4,12,12
80,40,45,2
90,45,19,4
1250,50,11,2
80,20,15,3
300,50,14,1
180,9,12,9
110,5,12,1
500,20,12,1
120,4,12,4
100,20,19,1
240,4,12,1
300,50,22,2
280,10,12,11
280,10,12,10
650,5,12,7
240,5,12,5
600,50,39,1
200,4,12,10
200,4,12,1
200,4,12,12
450,45,19,1
280,40,12,4
280,4,12,2
280,20,11,5
80,5,11,5
80,5,11,4
900,20,12,4
90,6,11,15
280,40,17,1
90,5,11,10
90,5,11,8
120,5,12,6
150,50,14,2
250,50,45,2
80,20,10,5
