n_estimators,group_size,max_depth,initial_max_depth
180,45,32,10
180,4,42,3
160,4,26,3
160,5,48,10
180,6,24,14
170,10,20,10
180,20,16,10
180,15,32,10
180,5,41,10
150,5,20,11
250,50,50,11
210,7,21,10
160,8,41,10
180,6,17,14
160,5,29,14
220,4,44,3
160,10,24,14
200,4,24,3
190,5,49,11
160,10,47,14
150,5,43,10
180,30,48,3
160,20,38,10
200,8,17,14
160,8,43,12
220,5,29,11
240,3,28,14
180,15,45,3
200,50,25,14
200,50,33,14
180,20,36,10
240,5,48,11
150,6,47,10
180,9,32,12
180,9,47,12
200,50,47,11
240,8,18,14
150,50,40,14
240,40,16,2
250,25,38,11
140,7,30,10
190,5,31,14
140,20,19,12
250,5,20,14
150,25,33,10
160,40,17,11
160,20,41,11
450,45,33,9
140,7,25,14
240,30,29,14
100,25,49,5
350,7,43,6
350,7,37,6
140,7,19,7
250,5,16,8
500,10,19,6
120,40,40,5
70,10,47,3
240,8,48,6
100,25,25,5
700,4,41,6
120,6,39,6
90,15,42,10
800,8,40,6
70,35,46,3
700,10,43,6
700,10,50,6
140,20,34,6
900,4,41,6
900,4,42,6
80,8,41,5
400,10,44,6
250,5,21,8
280,8,33,5
700,20,41,5
750,5,35,6
290,5,20,8
850,10,30,6
240,4,41,2
240,4,42,2
270,15,21,6
700,20,35,5
700,4,30,5
120,20,18,5
110,10,43,3
500,10,31,6
600,10,44,6
600,6,33,6
750,6,46,6
270,6,32,6
120,6,17,3
1000,10,18,6
500,10,42,6
210,6,39,6
700,4,42,5
100,20,29,5
270,5,18,3
350,25,25,14
200,8,44,6
550,10,22,6
280,7,41,14
100,25,15,14
150,3,29,14
90,3,20,14
450,6,39,14
100,20,21,14
100,25,44,14
300,20,18,14
700,4,48,13
120,10,30,14
280,4,17,13
280,8,18,14
280,5,39,14
240,4,13,12
300,6,27,14
600,8,45,14
100,5,38,14
900,3,18,14
120,10,21,14
270,3,23,12
700,5,38,13
160,40,36,14
80,10,39,14
300,3,23,14
80,20,26,13
270,45,30,14
80,20,41,13
550,5,15,13
650,10,23,14
750,3,35,13
120,4,39,14
600,10,32,14
300,15,47,14
260,5,41,14
90,45,42,14
500,5,23,13
950,10,37,14
500,20,47,13
140,7,35,14
900,4,28,13
700,10,19,13
650,10,16,13
500,10,23,13
120,15,23,14
850,5,28,13
900,4,26,13
250,5,33,14
110,5,33,14
600,3,39,14
700,25,46,13
